place,lat,lon
Kishanganj,25.6843,86.9474
Araria,26.1108,87.3016
Katihar,25.5520,87.5719
Darbhanga,26.1119,85.8960
Madhubani,26.4628,86.1752
Sitamarhi,26.5952,85.4808
Madhepura,25.8674,86.9424
Sheohar,26.5146,85.2942
West Champaran,27.1543,84.3542
East Champaran,26.6098,84.8568
Purnia,25.7771,87.4753
Lakhimpur,27.9490794,80.7824012
MLAs,11.2343498,77.7786879
Country,28.4141538,77.0659348
Canada,56.130366,-106.346771
CBSNews,40.769262,-73.989637
TOICitiesNews,37.184829,-76.573053
Flood,37.2923509,-78.73278
Morigaon,26.2599654,92.2630393
CM,7.369722,12.354722
NitaAmbani,19.1694988,72.9584612
NARAYANSON,26.2001889,78.132578
STEAL,40.7398961,-111.9509441
WEALTH,13.7442881,100.5298979
AGRIS,42.4019827,-82.1696474
ADAM,42.4772842,-83.2457713
GREAT,43.1240448,-89.3499345
Ambani,29.6931968,-95.5222259
Banaskantha,24.3454739,71.7622481
Patan,23.8493246,72.1266255
Gujarat,22.258652,71.1923805
Japan,36.204824,138.252924
Hanoi,21.0277644,105.8341598
Shah,37.3710459,-122.0472429
MLA,31.3263578,-89.3343513
AsaramBapuJiSantAsaramBapuJi,43.69318,-79.692312
Ashram,41.293229,-74.1647862
NewAlert,38.1883894,23.8499168
JhaiFoundation,26.124917,91.786714
Odisha,20.9516658,85.0985236
PaidMedia,28.6924685,-81.3850167
Sadhaks,22.7117325,88.3354478
PujaBapuji,22.4753014,88.4227239
AmdmumFood,40.09083,-88.1907264
India,20.593684,78.96288
Appeal,38.3676239,-76.4482849
EmergencyAppeal,32.7780031,-96.8143196
SantAsaramBapuJi,28.35394,77.779065
NewsX,28.5784534,77.3195167
AsaramBapuJi,29.9930952,78.2015258
Gujarati,33.85977,-84.173
RajyaSabha,28.6633975,77.2249779
Unjha,23.8063156,72.3843867
BJPQuitGujarat,22.274476,70.80037
BJP,47.1575034,-122.298516
NorthGujarat,22.258652,71.1923805
PranjalC23,23.020036,72.5312802
INCIndia,15.656563,80.009474
SuprWarrior,10.5211329,76.2165979
Dhanera,24.5063838,72.0258406
Ram_Guha,11.0078577,76.9648165
Contrarily,39.674007,-90.0216254
CMOfficeAssam,26.4678238,92.4725052
OmprakashSewa,25.8768131,82.8890159
RelianceIndustriesOrganisation,19.1305472,73.0137098
GreatLady,26.9454877,-82.032836
Assam,26.2006043,92.9375739
Neeta,39.8664115,-74.8053999
GUJARAT,22.258652,71.1923805
RelianceFoundation,19.1305472,73.0137098
FloodRelief,42.0288918,-88.2585412
Media,39.9167783,-75.387693
SBILife,30.7332345,76.7980287
Puri,19.8133822,85.8314655
Isan,14.9724792,103.1057818
EconomicTimes,17.4267683,78.4456037
Heavy,13.6950966,100.6477906
JUSReached,22.5010594,88.3618623
RSSSwayamsevaks,25.449928,81.8600809
Khariya,29.1329404,75.5174793
Suigam,24.1531888,71.357201
Kolkata,22.572646,88.363895
JajpurDistrict,20.7652197,86.1751759
Chandia,23.6444283,80.7048084
Kullu,31.957851,77.1094597
NitaMAmbani,19.1694988,72.9584612
Himalayas,28.5983159,83.9310623
SWAC,33.5198479,-86.806933
AmitShah,42.1877235,-88.1840088
Cong,53.5416844,-9.2834604
Gujaratis,21.2493624,75.2967803
WatPhra,13.7515912,100.4926579
Rahul,8.5665135,76.9210312
Greetings,37.8267243,-122.251819
Orissa,20.9516658,85.0985236
BWBusinessworld,28.6337606,77.2407167
AssamTribune,27.4684518,94.9019129
Camp,32.9567043,-94.9974461
Myanmar,21.916221,95.955974
Severity,40.59119,-112.4746246
WATCH,37.8697868,-122.300843
Guj,22.2865721,70.8015519
ModiModi,24.2044078,78.3677933
