created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-31 23:59:46,krishkaran2009,RT @GEAG_India: States with high forest cover likely to better cope with flood damage: Experts https://t.co/Bk0Ch7pgHM @SpwdWastelands @CGI…,,,,RT,
2017-08-31 23:57:00,AnandDammani,"RT @KDAHMumbai: If you've had exposure to #flood water you are recommended to see your doctor for evaluation for Leptospirosis. 
PC: https:…",,,India,RT| Leptospirosis,"[19.461882, 72.777658]"
2017-08-31 23:55:17,rahultri1977,"RT @camohitbaheti: @Shehla_Rashid RSS people brutally murdering flood affected innocent people

https://t.co/XxlN5AvJCD https://t.co/YQGQZ6…",,,Allahabad,RT,
2017-08-31 23:55:04,GuRuGyee,"RT @ElevenMyanmar: More and more refugees flood into Sittwe, Rakhine
#Rakhine #Myanmar #Burma https://t.co/TH2so42luL",,,,RT| Sittwe| Rakhine,"[20.1527657, 92.86768610000001][19.810093, 93.9878427]"
2017-08-31 23:54:17,stb_mike,@jrbadazz_ @wassupmk Rite we finna flood😂😂,,,Out East,,[]
2017-08-31 23:49:06,vijay_thug,RT @IamSamSanyal: Aamir Khan donates Rs. 25 lakh to Bihar Flood victims https://t.co/i1pXMqiToX,,,Bangalore,RT| Aamir Khan| Bihar Flood,"[19.295875,73.073113][25.5832852,85.0975657]"
2017-08-31 23:45:55,salaamhyd11,"RT @ndtv: US President @realDonaldTrump to donate $1 million to flood relief: White House 

#HurricaineHarvey https://t.co/s2N5jICeSh",,,"Hyderabad, India",RT| US| White House,"[37.09024,-95.712891][38.8976763, -77.0365298]"
2017-08-31 23:45:43,stb_mike,Nashville finna flood 👀,,,Out East,Nashville,"[36.1626638, -86.7816016]"
2017-08-31 23:44:33,AjithParol,"RT @LogicalIndians: In Flood-Torn Houston, Residents Form Human Chain To Save An Elderly Man From Drowning

https://t.co/66XIjDjbfN",,,Perth,RT| Houston| Residents Form Human,"[29.7604267,-95.3698028][22.909264, 113.839415]"
2017-08-31 23:43:27,iasexamportal,"(Audio Notes) Topic: "" Discussion on Mumbai flood and lessons to be learnt "" 31 August 2017… https://t.co/6UePwVFrXq",,,India,Audio Notes| Mumbai,"[13.0247947, 77.5556222][19.0759837,72.8776559]"
2017-08-31 23:42:01,salaamhyd11,"RT @CNNnews18: Google on Thursday pledged $1 million relief to flood-hit areas of India, Nepal and Bangladesh. https://t.co/XviOeNqfhg",,,"Hyderabad, India",RT| India| Nepal| Bangladesh,"[20.593684,78.96288][28.394857,84.124008][23.684994,90.356331]"
2017-08-31 23:41:01,paulkeyacpim,"RT @ArkaRajpandit: Even US President Donald Trump to visit flood affected Texas, When our CM will visit flood areas beyond from Photo shoot…",,,calcutta,RT| US| Donald Trump| Texas| Photo,"[37.09024,-95.712891][40.561196,-74.383092][31.9685988,-99.9018131][35.9189898,-78.9582557]"
2017-08-31 23:37:08,Rizwan1357,"RT @TheSiasatDaily: #Google Announces $1 Million #FloodRelief In #India, #Nepal &amp; #Bangladesh - @TheSiasatDaily https://t.co/FiqE7e3p2Q htt…",,,"Dammam, Kingdom of Saudi Arabi",RT| Google Announces| Bangladesh,"[][23.684994,90.356331]"
2017-08-31 23:36:05,MuzammilQuresh,"Karachi is in a worst situation of flood. All three Govs responsible Fed,Prov &amp; Local bodies One wonders what's the use of all of them #rain",,,Islamabad,Karachi| Local,"[24.8614622, 67.0099388][47.6222573,-122.3368892]"
2017-08-31 23:35:26,HforHyderabad,"RT @TheSiasatDaily: #Google Announces $1 Million #FloodRelief In #India, #Nepal &amp; #Bangladesh - @TheSiasatDaily https://t.co/FiqE7e3p2Q htt…",,,"Hyderabad, Telangana",RT| Google Announces| Bangladesh,"[][23.684994,90.356331]"
2017-08-31 23:34:54,mrkotians,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,ಮೈಸೂರು,RT| China,"[35.86166,104.195397]"
2017-08-31 23:34:27,5rWJJPtW2p2ogs9,"RT @TunWin28270897: More and more refugees flood into Sittwe, Rakhine
#Rakhine #Myanmar #Burma https://t.co/CBUlYdjVw0",,,,RT| Sittwe| Rakhine,"[20.1527657, 92.86768610000001][19.810093, 93.9878427]"
2017-08-31 23:32:51,mowsamagri,"Distribution of Paddy seedlings (variety- Disang and Gitesh) among the flood affected farmers at KVK, Nagaon  on 31… https://t.co/xVlSZuKkXm",,"[[[90.939097, 25.722728], [92.180418, 25.722728], [92.180418, 26.796614], [90.939097, 26.796614]]]","Guwahati, Assam, India ",Paddy| Disang| Gitesh| KVK| Nagaon,"[45.5171301,-122.6737971][27.2954862, 95.13669159999999][28.568683, 77.24203299999999][40.223192, -74.915825][26.3463713,92.6840426]"
2017-08-31 23:31:33,JannoMD,"RT @IndiaToday: Floating colonies of fire ants pose threat to Houston residents! #ITPhotoblog
PC: @DanLTaylor &amp; @The_Reliant 
More: https:/…",,,Houston TX,RT| Houston| ITPhotoblog,"[29.7604267,-95.3698028][22.3068, 114.171634]"
2017-08-31 23:29:33,rBalla_,"RT @ANI: #BiharFloods: Flood-like situation in Muzaffarpur district, visuals from Mushahari Primary Health Centre. https://t.co/zp17L4QlLI",,,Rayagada/New Delhi ,RT| Muzaffarpur| Mushahari,"[26.1208876,85.3647201][26.2216932, 85.1194091]"
2017-08-31 23:27:15,kbasar,"Prayer for Flood victims around India, Nepal and Bangladesh. https://t.co/gvexJxF7Xi",,,India,Prayer| Flood| India| Nepal| Bangladesh,"[38.8845402, -104.8349571][37.2923509,-78.73278][20.593684,78.96288][28.394857,84.124008][23.684994,90.356331]"
2017-08-31 23:20:55,_manivarnan1515,"This is probably the worst US flood storm ever, and I’ll never be the same https://t.co/BhqZuOBQZp",,,India,US,"[37.09024,-95.712891]"
2017-08-31 23:20:38,_manivarnan1515,"This is probably the worst US flood storm ever, and I’ll never be the same https://t.co/H9JHWY5pq0",,,India,US,"[37.09024,-95.712891]"
2017-08-31 23:20:12,shobhitadv,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,,RT| China,"[35.86166,104.195397]"
2017-08-31 23:20:03,NewsUkhand,UP flood toll touches 104; one killed in landslide in Uttarakhand - The New Indian Express https://t.co/PdP3zyRZNQ,,,India,Uttarakhand| New Indian Express,"[30.066753,79.0192997][9.992691,76.290334]"
2017-08-31 23:13:44,TUNOO00655880,"RT @TunWin28270897: More and more refugees flood into Sittwe, Rakhine
#Rakhine #Myanmar #Burma https://t.co/CBUlYdjVw0",,,Myanma,RT| Sittwe| Rakhine,"[20.1527657, 92.86768610000001][19.810093, 93.9878427]"
2017-08-31 23:10:46,NewsUkhand,Uttar Pradesh Flood Toll Hits 104; 1 Killed in Uttarakhand Landslide https://t.co/YIvJQUSce0,,,India,Uttar Pradesh Flood Toll| Uttarakhand Landslide,"[][30.8365877, 78.4919997]"
2017-08-31 23:07:06,AamirKhanInfo,#AmirKhan Aamir Khan sends Rs 25 lakh cheque for flood relief - Times of India https://t.co/Ei68r7KUYM @aamir_khan,,,India,AmirKhan Aamir Khan| India,"[39.9666521,-83.777859][20.593684,78.96288]"
2017-08-31 23:05:29,mahabharat911,"RT @NehaPat57058574: @BBCWorld What a shame! We r suffering too in Mumbai flood bt there's no any news abt robbery/looting ,in fact ppl com…",,,,RT| Mumbai,"[19.0759837,72.8776559]"
2017-08-31 23:03:56,kaynyk,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,Milky Way,RT| China,"[35.86166,104.195397]"
2017-08-31 23:01:42,NewsTweetsWorld,Fox News: Trump to visit flood-ravaged Houston over the weekend (via AlexPappas) https://t.co/B9Jb2QV2yS… https://t.co/ABXh2SfcQG,,,India,Fox News| Houston| AlexPappas,"[40.7586932,-73.9819273][29.7604267,-95.3698028][33.7573098, -78.85897419999999]"
2017-08-31 22:58:31,chaanakya41,RT @Chellaney: China's disdain for pacts: It violates binding obligations by not sharing hydrological data with flood-ravaged India https:/…,,,,RT| China,"[35.86166,104.195397]"
2017-08-31 22:52:27,LSK2411,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,हिंदुस्तान,RT| China,"[35.86166,104.195397]"
2017-08-31 22:49:51,social_radiance,RT @TripathiNirbhay: jeffbullas: 5 Ways To Flood Your Blog With Traffic Using Pinterest #pinterest #socialmedia #bloggingtips… https://t.co…,,,Global,RT| Traffic Using Pinterest,[]
2017-08-31 22:49:29,SwapnilSurve30,RT jeffbullas: 5 Ways To Flood Your Blog With Traffic Using Pinterest #pinterest #socialmedia #bloggingtips… https://t.co/2WwMNWdiO8,,,"Mumbai, India",Traffic Using Pinterest,[]
2017-08-31 22:49:18,adamklaughtalk,I bet that National Flood Insurance Program wouldn't cover hardly anything. #SpecialReport,,,Somewhere In AL,National Flood Insurance Program,"[47.7668003,-122.1870304]"
2017-08-31 22:45:53,TripathiNirbhay,jeffbullas: 5 Ways To Flood Your Blog With Traffic Using Pinterest #pinterest #socialmedia #bloggingtips… https://t.co/RG1APfpxql,,,"Varanasi , New Delhi ",Traffic Using Pinterest,[]
2017-08-31 22:45:47,anirban1970,RT @NorthEastToday: The cabinet also approved Bills for formation of Assam State Capital Region  https://t.co/FPti0gQh4w,,,"Guwahati, India",RT| Bills| Assam State Capital,"[42.7737392, -78.7870145][]"
2017-08-31 22:45:22,LSK2411,RT @swapan55: UNHCR welcome to press Myanmar to deal with its Rohingya problem in a humane way. But it can't pressure India to accept a flo…,,,हिंदुस्तान,RT| Myanmar| India,"[21.916221,95.955974][20.593684,78.96288]"
2017-08-31 22:43:39,FazleAzim2,Flood of worry in the desert: Texans at Burning Man fear devastation back home https://t.co/HrifZC8230,,,"Dhaka, Bangladesh",Flood| Burning Man,"[37.2923509,-78.73278][40.7886448, -119.2030177]"
2017-08-31 22:43:10,InnovativeHindu,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,Bharat ,RT| China,"[35.86166,104.195397]"
2017-08-31 22:35:35,h_shikhare,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,"Jersey City, NJ",RT| China,"[35.86166,104.195397]"
2017-08-31 22:33:29,bibiriba,"RT @gettleman: Tho Houston flood is getting more attention, flooding in India, Nepal &amp; Bangladesh is SO much worse. 1,000 dead. https://t.c…",,,,#,
2017-08-31 22:33:13,younews_in,12 Pictures Showing How Bad The Houston Flood Really Is https://t.co/yfap93Tan0,,,India,How Bad The Houston Flood Really,[]
2017-08-31 22:30:38,dinsleek,@OnyiduOnazi Am fine dear.. Hope makurdi flood never reach ur side?,,,Unknown,OnyiduOnazi Am| Hope,"[][42.7871797,-86.1023574]"
2017-08-31 22:30:29,Ankit_450432,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,,RT| China,"[35.86166,104.195397]"
2017-08-31 22:28:04,bibiriba,RT @stc_india: We are responding in worst flood-torn districts of #Bihar We hve distributed 200 non-food items kits in Kishanganj &amp; Sitamah…,,,,RT| Kishanganj,"[25.6843,86.9474]"
