created-at,username,text,extr-places,extr-latlon
2017-07-24 23:52:14,DevLadpura,"RT @DevLadpura: Heavy rain causes flood-like situation in Rajasthan, schools closed in 2 districts | india-news | Hindustan Times https://t…",RT| Rajasthan| Hindustan Times,"[27.0238036, 74.21793260000001][30.906587, 75.840648]"
2017-07-24 23:50:07,Harlow43468759,RT @_ighv: 1000s of years back Hindu sages have predicted that in 2014 Bhagawati Durga would arrive on a boat which signifies flood! #Panch…,#,
2017-07-24 23:43:49,nativejeweler1,RT @Edwardbani: Please Pray for our country. Flood is going on for a long time. https://t.co/M3ItGAbhwi,RT| Flood,"[37.2923509, -78.73277999999999]"
2017-07-24 23:40:40,shahritesh07,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,RT| NDRF| Army,"[16.3792902, 80.53139279999999][40.2787639, -96.7472875]"
2017-07-24 23:34:24,NewsAssam,Flood Situation in Assam Improves - NorthEast Today https://t.co/VPRkpAzibc #Assam,Flood Situation| Assam Improves| NorthEast,"[][][42.0492205, -97.3957793]"
2017-07-24 23:32:53,rahuljjp,RT @sardesairajdeep: Thoughts and prayers tonight will friends and citizens in flood hit Gujarat. God bless you all! Hope help reaches all…,RT| God| Hope,[][]
2017-07-24 23:27:21,mit_chokshi,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,RT| NDRF| Army,"[16.3792902, 80.53139279999999][40.2787639, -96.7472875]"
2017-07-24 23:21:19,besttopicin,Raw: Chopper Lifts Flood Stranded Hikers To Safety https://t.co/jLyX26MM1q,Chopper Lifts Flood| Hikers To Safety,[][]
2017-07-24 23:17:01,XTOLZ,RT @Edwardbani: Please Pray for our country. Flood is going on for a long time. https://t.co/M3ItGAbhwi,RT| Flood,"[37.2923509, -78.73277999999999]"
2017-07-24 23:14:19,FazleAzim2,Raw: Chopper Lifts Flood Stranded Hikers To Safety https://t.co/okJjb6rHCc,Chopper Lifts Flood| Hikers To Safety,[][]
