created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-17 23:59:13,HaribanshShukl4,"RT @PTI_News: Over 28,000 #flood victims have been rescued or evacuated from various affected parts of the country till now: #NDRF.",,,,RT| NDRF,"[16.3792902, 80.53139279999999]"
2017-08-17 23:57:21,IAS_Gurukul,Flood water has started receding in North Bengal: Irrigation Minister Rajib Banerjee https://t.co/mcO4bn6apJ,,,"New Delhi, India",Flood| North Bengal| Rajib Banerjee,"[37.2923509, -78.73277999999999][22.5685211, 88.3478878][23.0322241, 88.06510019999999]"
2017-08-17 23:56:12,anjaneyaya,"RT @sampadscales: Food distributed by Bharat Sebasram Sangha to the flood effected people of Balurghat, West Bengal.

Big Salute to their n…",,,Hindu Rashtra 🇮🇳🚩 🕉🙏,RT| Bharat Sebasram Sangha| Balurghat| West Bengal,"[40.4239891, -74.5692345][25.2372834, 88.7830612][22.9867569, 87.8549755]"
2017-08-17 23:50:58,BDabgar,"RT @TimesNow: Bihar floods death toll rises, 104 toll free number launched. Read the full story here: 
https://t.co/HolsGrykEM",,,,RT,
2017-08-17 23:48:19,lawrajk,RT @kanhaiya_sah: #pmoindia  #BiharFloods   govt has given helpline numbers for flood affected areas but none of them r working. https://t.…,,,Danapur,#,
2017-08-17 23:48:02,indian24news,Flood water has started receding in North Bengal: Irrigation Minister Rajib Banerjee https://t.co/V5I1T8VSJ3 #news… https://t.co/CsxLiVEsFm,,,India,Flood| North Bengal| Rajib Banerjee,"[37.2923509, -78.73277999999999][22.5685211, 88.3478878][23.0322241, 88.06510019999999]"
2017-08-17 23:46:19,Arya_The_Mafia,"everyone. Can develop for help. Your help / money will reach the flood victims.

A development number can not be",,,"Dhaka, Bangladesh",,[]
2017-08-17 23:45:32,BDeshbot,"RT @Arya_The_Mafia: Special request,

Money and help are being collected for the flood victims of Uttara region of Bangladesh. Help as much…",,,Bangladesh,RT| Money| Uttara| Bangladesh| Help,"[34.1742914, -88.7220435][20.1928282, 85.8537418][23.684994, 90.356331][33.4658071, -117.6723263]"
2017-08-17 23:45:31,Arya_The_Mafia,"Special request,

Money and help are being collected for the flood victims of Uttara region of Bangladesh. Help as much as possible from",,,"Dhaka, Bangladesh",Money| Uttara| Bangladesh| Help,"[34.1742914, -88.7220435][20.1928282, 85.8537418][23.684994, 90.356331][33.4658071, -117.6723263]"
2017-08-17 23:44:45,shaurab1,"Flood Victim Help Campaign

Street Collection Day 2
Location : Basantapur 
Amount : NRs. 15,736

Street... https://t.co/05rCbhvdhG",,,Kathmandu,Flood Victim Help Campaign Street Collection,[]
