wordcount,flood_index
20,34
24,126
16,-1
27,66
10,-1
22,79
27,66
9,-1
16,-1
9,-1
22,79
24,-1
7,12
22,55
14,-1
12,-1
13,60
12,17
20,81
15,55
21,127
7,-1
20,40
9,-1
16,45
14,-1
22,79
22,79
27,66
12,29
27,66
22,-1
11,-1
17,44
22,79
20,81
15,55
27,66
23,-1
23,-1
15,-1
14,-1
14,-1
27,66
27,66
21,-1
14,52
18,69
13,60
27,66
22,79
10,49
20,39
27,66
19,44
22,79
27,66
22,79
22,79
20,43
20,92
19,84
27,66
20,74
20,90
23,121
21,-1
27,66
22,72
27,66
27,66
13,-1
18,67
11,-1
23,121
21,-1
19,-1
12,29
16,-1
27,66
27,66
12,-1
17,29
14,-1
14,-1
12,46
27,66
27,66
12,59
23,59
22,41
17,77
14,-1
21,70
11,-1
22,79
22,79
23,-1
17,120
20,81
17,90
27,66
17,70
20,92
20,81
22,79
22,-1
15,55
18,69
27,66
22,79
18,67
20,-1
27,66
22,79
13,-1
20,54
18,67
27,66
27,66
22,79
20,81
12,33
24,-1
27,66
20,81
15,55
27,66
20,54
15,55
16,33
27,66
21,-1
18,84
27,66
27,66
22,79
15,55
10,29
16,-1
13,47
23,-1
22,79
27,66
13,47
18,67
25,84
22,79
10,44
13,-1
20,55
18,67
11,29
16,53
14,68
27,66
20,92
17,29
22,79
11,-1
20,92
25,84
22,56
14,35
20,92
22,79
10,-1
27,66
27,66
15,55
20,34
19,85
20,92
15,55
16,-1
20,92
20,92
20,92
17,70
18,69
20,92
20,92
17,70
13,-1
20,32
13,-1
13,-1
13,-1
21,127
23,131
22,79
14,118
19,84
21,127
27,66
21,-1
20,34
22,79
19,84
11,-1
12,-1
20,81
15,55
27,66
27,66
27,66
18,63
23,121
20,63
21,-1
20,54
18,8
11,46
13,-1
27,66
24,-1
24,-1
27,66
27,66
27,66
13,-1
15,55
20,81
27,66
15,55
7,-1
24,-1
13,-1
22,79
15,55
20,81
27,66
17,120
27,66
19,62
27,66
11,51
27,66
22,79
27,66
27,66
12,17
27,66
13,-1
20,81
13,-1
22,79
20,-1
22,79
10,44
27,66
15,-1
23,-1
10,-1
22,79
12,17
22,79
18,38
13,-1
14,34
12,17
22,79
22,79
10,49
14,24
13,-1
27,66
27,66
